5.991182, -9.148576, 7.498571, -7.246525, 8.733110
6.069279, -9.180932, 6.988453, -7.609367, 8.450215
6.147782, -9.287005, 6.359426, -8.130842, 7.922589
6.226695, -9.292254, 5.549102, -8.548640, 7.041728
6.306019, -9.070135, 4.721562, -8.619082, 6.031320
6.385759, -8.713199, 3.986538, -8.463883, 5.110971
6.465918, -8.244645, 3.321704, -8.154613, 4.230859
6.546499, -7.645147, 2.797321, -7.615231, 3.463178
6.627505, -7.002298, 2.492706, -6.934955, 2.962069
6.708940, -6.443164, 2.403070, -6.290282, 2.751108
6.790808, -6.085231, 2.434401, -5.834507, 2.744905
6.873111, -5.938382, 2.389995, -5.641097, 2.747812
6.955853, -5.803314, 2.157425, -5.565826, 2.556197
7.039037, -5.523745, 1.881515, -5.364129, 2.231495
7.122668, -5.170189, 1.706829, -5.031224, 1.978620
7.206749, -4.853359, 1.626458, -4.702079, 1.844327
7.291283, -4.607234, 1.562918, -4.446749, 1.753427
7.376274, -4.379205, 1.460889, -4.228696, 1.624941
7.461727, -4.103795, 1.353654, -3.963219, 1.470989
7.547643, -3.791972, 1.310272, -3.640442, 1.371758
7.634029, -3.504709, 1.347458, -3.320941, 1.359896
7.720886, -3.281085, 1.429189, -3.049783, 1.410213
7.808220, -3.117951, 1.511060, -2.839609, 1.485868
7.896033, -2.976981, 1.570249, -2.673832, 1.547589
7.984331, -2.813063, 1.644308, -2.493396, 1.596888
8.073117, -2.667201, 1.817690, -2.287269, 1.718228
8.162394, -2.683880, 2.068704, -2.162132, 1.955160
8.252168, -2.901861, 2.208438, -2.218377, 2.215516
8.342443, -3.148214, 2.121984, -2.431394, 2.352890
8.433222, -3.271960, 1.906356, -2.664846, 2.309911
8.524509, -3.287195, 1.679800, -2.828175, 2.152798
8.616310, -3.241521, 1.462259, -2.909276, 1.935480
8.708629, -3.135052, 1.255623, -2.898249, 1.697798
8.801469, -2.969507, 1.090593, -2.805650, 1.480286
8.894835, -2.775655, 0.988611, -2.651773, 1.309193
8.988732, -2.573491, 0.950874, -2.453113, 1.201280
9.083164, -2.392179, 1.000203, -2.236886, 1.196623
9.178136, -2.311044, 1.119405, -2.093738, 1.302606
9.273653, -2.362864, 1.202699, -2.089240, 1.429157
9.369719, -2.468077, 1.169367, -2.180523, 1.477368
9.466338, -2.541959, 1.035610, -2.294749, 1.442421
9.563517, -2.541788, 0.842063, -2.424355, 1.324352
9.661259, -2.450476, 0.647968, -2.500515, 1.081763
9.759570, -2.299868, 0.503116, -2.423673, 0.804009
9.858454, -2.133277, 0.413120, -2.246619, 0.605993
9.957916, -1.971713, 0.362859, -2.049919, 0.491186
10.057963, -1.820290, 0.340955, -1.863172, 0.432116
10.158598, -1.682123, 0.343105, -1.694763, 0.412085
10.259827, -1.564828, 0.363394, -1.552747, 0.418503
10.361655, -1.468722, 0.385058, -1.437987, 0.429842
10.464088, -1.371012, 0.403679, -1.325250, 0.434128
10.567131, -1.264379, 0.451168, -1.196648, 0.459768
10.670789, -1.190164, 0.553091, -1.078296, 0.538152
10.775069, -1.215371, 0.668905, -1.025385, 0.662926
10.879975, -1.318132, 0.688136, -1.070595, 0.765505
10.985513, -1.373011, 0.600258, -1.160905, 0.769790
11.091689, -1.342708, 0.506584, -1.198946, 0.693197
11.198510, -1.277859, 0.450491, -1.167300, 0.612195
11.305979, -1.210044, 0.432533, -1.091538, 0.569003
