k,e
4, -4.12215161607779
6, -4.161363732250832
8, -4.172462443201931
10, -4.171466817115604
12, -4.167586774177841
14, -4.167031115318155
16, -4.168640306904413
18, -4.169704864453802
20, -4.169436685818858
